#energy		Protons		Alphas
#MeV		MeV cm2/g	MeV cm2/g
##
1.00e-3		1.169e2	1.213e2
1.50e-3		1.393e2	1.342e2
2.00e-3		1.583e2	1.447e2
2.50e-3		1.750e2	1.539e2
3.00e-3		1.903e2	1.624e2
4.00e-3		2.174e2	1.782e2
5.00e-3		2.414e2	1.927e2
6.00e-3		2.633e2	2.066e2
7.00e-3		2.834e2	2.198e2
8.00e-3		3.022e2	2.326e2
9.00e-3		3.199e2	2.450e2
1.00e-2		3.366e2	2.570e2
1.25e-2		3.686e2	2.860e2
1.50e-2		3.961e2	3.135e2
1.75e-2		4.199e2	3.397e2
2.00e-2		4.408e2	3.650e2
2.25e-2		4.591e2	3.893e2
2.50e-2		4.751e2	4.129e2
2.75e-2		4.890e2	4.357e2
3.00e-2		5.011e2	4.579e2
3.50e-2		5.204e2	5.004e2
4.00e-2		5.342e2	5.408e2
4.50e-2		5.433e2	5.793e2
5.00e-2		5.485e2	6.162e2
5.50e-2		5.507e2	6.514e2
6.00e-2		5.504e2	6.852e2
6.50e-2		5.480e2	7.176e2
7.00e-2		5.442e2	7.486e2
7.50e-2		5.392e2	7.785e2
8.00e-2		5.333e2	8.071e2
8.50e-2		5.267e2	8.346e2
9.00e-2		5.198e2	8.610e2
9.50e-2		5.126e2	8.864e2
1.00e-1		5.053e2	9.107e2
1.25e-1		4.695e2	1.018e3
1.50e-1		4.379e2	1.105e3
1.75e-1		4.113e2	1.175e3
2.00e-1		3.889e2	1.232e3
2.25e-1		3.699e2	1.277e3
2.50e-1		3.535e2	1.312e3
2.75e-1		3.391e2	1.341e3
3.00e-1		3.263e2	1.364e3
3.50e-1		3.045e2	1.395e3
4.00e-1		2.862e2	1.412e3
4.50e-1		2.706e2	1.420e3
5.00e-1		2.569e2	1.420e3
5.50e-1		2.454e2	1.416e3
6.00e-1		2.353e2	1.408e3
6.50e-1		2.261e2	1.398e3
7.00e-1		2.174e2	1.386e3
7.50e-1		2.091e2	1.372e3
8.00e-1		2.012e2	1.358e3
8.50e-1		1.938e2	1.343e3
9.00e-1		1.872e2	1.328e3
9.50e-1		1.811e2	1.312e3
1.00e0		1.754e2	1.296e3
1.25e0		1.524e2	1.219e3
1.50e0		1.355e2	1.148e3
1.75e0		1.223e2	1.082e3
2.00e0		1.118e2	1.024e3
2.25e0		1.031e2	9.715e2
2.50e0		9.586e1	9.248e2
2.75e0		8.968e1	8.822e2
3.00e0		8.433e1	8.432e2
3.50e0		7.554e1	7.738e2
4.00e0		6.860e1	7.137e2
4.50e0		6.296e1	6.618e2
5.00e0		5.828e1	6.179e2
5.50e0		5.431e1	5.802e2
6.00e0		5.091e1	5.474e2
6.50e0		4.795e1	5.186e2
7.00e0		4.536e1	4.931e2
7.50e0		4.306e1	4.703e2
8.00e0		4.101e1	4.498e2
8.50e0		3.916e1	4.312e2
9.00e0		3.750e1	4.143e2
9.50e0		3.598e1	3.989e2
1.00e1		3.459e1	3.847e2
1.25e1		2.913e1	3.280e2
1.50e1		2.529e1	2.874e2
1.75e1		2.243e1	2.567e2
2.00e1		2.020e1	2.326e2
2.50e1		1.695e1	1.969e2
2.75e1		1.573e1	1.833e2
3.00e1		1.469e1	1.716e2
3.50e1		1.302e1	1.526e2
4.00e1		1.173e1	1.378e2
4.50e1		1.070e1	1.259e2
5.00e1		9.856e0	1.160e2
5.50e1		9.157e0	1.077e2
6.00e1		8.564e0	1.007e2
6.50e1		8.056e0	9.458e1
7.00e1		7.614e0	8.926e1
7.50e1		7.227e0	8.457e1
8.00e1		6.885e0	8.040e1
8.50e1		6.581e0	7.666e1
9.00e1		6.308e0	7.330e1
9.50e1		6.061e0	7.025e1
1.00e2		5.838e0	6.747e1
1.25e2		4.974e0	5.662e1
1.50e2		4.383e0	4.908e1
1.75e2		3.954e0	4.351e1
2.00e2		3.628e0	3.922e1
2.25e2		3.371e0	3.581e1
2.50e2		3.165e0	3.303e1
2.75e2		2.995e0	3.072e1
3.00e2		2.853e0	2.876e1
3.50e2		2.630e0	2.563e1
4.00e2		2.462e0	2.324e1
4.50e2		2.333e0	2.134e1
5.00e2		2.230e0	1.980e1
5.50e2		2.147e0	1.853e1
6.00e2		2.079e0	1.745e1
6.50e2		2.022e0	1.654e1
7.00e2		1.975e0	1.575e1
7.50e2		1.934e0	1.506e1
8.00e2		1.899e0	1.445e1
8.50e2		1.870e0	1.391e1
9.00e2		1.844e0	1.343e1
9.50e2		1.821e0	1.300e1
1.00e3		1.801e0	1.261e1
1.50e3		1.696e0	9.629e0
2.00e3		1.666e0	7.984e0
2.50e3		1.661e0	6.904e0
3.00e3		1.668e0	6.131e0
4.00e3		1.692e0	5.084e0
5.00e3		1.720e0	4.396e0
6.00e3		1.746e0	3.904e0
7.00e3		1.770e0	3.531e0
8.00e3		1.792e0	3.237e0
9.00e3		1.812e0	2.998e0
1.00e4		1.830e0	2.799e0
