#energy		Protons		Alphas
#MeV		MeV cm2/g	MeV cm2/g
##
1.00e-3		1.169e2	1.213e2
1.50e-3		1.393e2	1.342e2
2.00e-3		1.583e2	1.447e2
2.50e-3		1.750e2	1.539e2
3.00e-3		1.903e2	1.624e2
4.00e-3		2.174e2	1.782e2
5.00e-3		2.414e2	1.927e2
6.00e-3		2.633e2	2.066e2
7.00e-3		2.834e2	2.198e2
8.00e-3		3.022e2	2.326e2
9.00e-3		3.199e2	2.450e2
1.00e-2		3.366e2	2.570e2
1.25e-2		3.686e2	2.860e2
1.50e-2		3.961e2	3.135e2
1.75e-2		4.199e2	3.397e2
2.00e-2		4.408e2	3.650e2
2.25e-2		4.591e2	3.893e2
2.50e-2		4.751e2	4.129e2
2.75e-2		4.890e2	4.357e2
3.00e-2		5.011e2	4.579e2
3.50e-2		5.204e2	5.004e2
